epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2385.06,2.15467,5.10234,3.76232,0.83668,0.02676,0.00693,0.00259,1.85421,7.74114,2.9097,0.000332016,0.000332016,0.000332016
2,4215.22,1.75636,3.86227,2.45873,0.20154,0.27877,0.03059,0.01631,1.53158,3.67629,1.997,0.00059948,0.00059948,0.00059948
3,5897.26,1.53319,2.9066,2.072,0.20661,0.62715,0.08939,0.05401,1.24908,2.88346,1.5497,0.000800943,0.000800943,0.000800943
4,7758.25,1.30401,2.38143,1.79711,0.31333,0.447,0.16265,0.11059,1.19405,2.22616,1.47401,0.000703,0.000703,0.000703
5,9318.87,1.0866,2.08129,1.55817,0.31679,0.74,0.18512,0.15718,0.83439,2.04804,1.11745,0.000604,0.000604,0.000604
6,10879.3,0.97971,1.96628,1.43748,0.32326,0.82621,0.18783,0.16425,0.66321,1.70388,1.04145,0.000505,0.000505,0.000505
7,12347.8,0.86709,1.87919,1.33487,0.1641,0.85802,0.18382,0.16965,0.50727,1.67458,0.9388,0.000406,0.000406,0.000406
8,13703.1,0.79052,1.83001,1.26768,0.15765,0.83225,0.18951,0.17455,0.48569,1.59538,0.89224,0.000307,0.000307,0.000307
9,14929.3,0.74327,1.79667,1.23901,0.32394,0.83257,0.18687,0.18289,0.34672,1.57168,0.79992,0.000208,0.000208,0.000208
10,16949.3,0.68066,1.75944,1.19252,0.3243,0.83333,0.18764,0.18515,0.29655,1.53414,0.77552,0.000109,0.000109,0.000109
